21,1937,1
21,1747,3
21,230,2
21,1154,1
21,2121,3
21,5526,4
21,5722,2
21,435,1
21,1355,4
21,6824,2
21,1228,4
21,5634,3
21,5052,1
1,1124,1
21,1982,3
1,5872,3
1,661,4
1,3672,3
1,581,1
1,8276,4
1,1397,1
1,4351,3
1,7855,2
21,392,1
1,5712,2
21,5573,4
21,957,4
21,8460,3
21,5975,3
21,3754,3
21,1849,4
21,3775,4
21,8656,2
21,2771,1
21,5981,2
21,2679,2
21,8266,4
21,3230,1
21,5281,4
21,1727,2
21,8210,4
21,7532,1
21,6942,3
21,2361,2
21,8341,3
21,5217,4
21,7140,3
21,6581,3
21,4258,4
21,2467,1
21,7591,3
21,2636,4
21,6566,2
21,3200,4
21,5934,3
21,6067,3
21,1901,4
21,8427,4
21,4174,1
21,6775,3
21,2198,1
21,2225,2
21,5305,1
21,1373,2
21,3961,2
21,447,4
21,7509,1
21,1829,3
21,4364,4
21,1059,3
21,2489,4
21,4955,1
21,4088,2
21,1742,1
21,545,4
21,4727,1
21,6834,1
21,3103,3
21,244,3
21,2180,2
262,3346,3
262,5269,2
262,1648,4
262,3720,4
262,7575,4
262,1885,4
262,6482,3
262,1410,1
262,4105,4
262,2480,3
262,658,4
262,6974,3
262,46,4
262,3864,4
262,5928,2
450,2248,4
262,785,4
450,2687,3
450,4766,4
450,8474,2
450,6316,4
450,1961,4
450,6458,1
450,4239,4
450,668,3
450,5850,4
450,8404,1
528,8422,1
528,5561,2
528,7376,3
528,3627,4
262,2118,4
528,2494,2
262,8085,2
528,3204,1
262,3607,4
528,3282,2
262,1173,3
528,7378,1
528,2496,4
528,919,2
262,5431,2
262,3543,4
262,8479,2
450,4,3
262,2642,1
450,8270,1
262,8566,4
450,2401,2
450,4549,1
450,7823,3
450,3907,4
450,7276,4
450,3945,2
450,6727,4
450,5565,2
528,2457,1
528,6242,1
528,639,4
262,279,3
528,7276,2
262,1542,2
528,4339,3
262,8730,4
528,5696,4
262,8397,2
528,760,1
262,491,2
528,1909,3
528,828,3
528,7641,4
262,3337,2
450,8533,3
262,5897,3
450,7146,3
262,3047,3
450,176,4
262,5571,3
450,6919,3
450,4142,4
450,2672,3
450,4591,1
450,2028,4
450,191,1
450,3940,1
529,8495,2
529,2118,1
529,372,3
529,8361,3
529,2377,3
529,6145,4
262,3605,2
529,1511,3
262,6668,2
529,7806,4
262,5290,4
529,6193,1
262,1841,3
529,7602,3
262,3961,3
262,1808,1
450,5100,3
450,4932,2
262,5606,2
450,5192,3
262,7721,2
450,74,1
262,4618,1
450,5672,4
450,6579,4
450,2865,4
450,4442,4
450,6238,3
450,8085,4
528,7297,2
528,5110,1
528,4298,3
528,7745,2
528,7641,1
262,7035,4
528,4124,3
262,2125,3
528,4928,4
262,8051,1
528,6492,3
262,7780,3
528,4421,2
262,2101,1
529,3136,1
262,6963,2
262,1466,1
450,6712,3
450,3379,4
450,1314,3
450,7453,3
262,5640,2
450,6121,4
262,6127,4
450,5505,1
450,5815,3
450,1233,4
450,7822,2
450,6295,3
262,682,2
262,5740,4
262,3172,4
262,2910,4
262,7313,4
262,3405,3
262,1854,4
262,1586,1
450,1022,2
450,8293,2
450,5507,1
450,8420,2
450,2664,2
450,5136,4
262,8638,2
450,6096,4
450,1828,2
450,4190,4
450,3217,2
262,2802,1
262,2259,1
262,4925,3
262,1955,1
262,6506,3
262,3741,2
262,8250,3
262,7745,1
262,769,1
451,215,4
451,5175,1
451,1545,1
451,4799,3
451,8152,4
