,userId,movieId,rating,timestamp
1,21,1937,1,0
2,21,1747,3,0
3,21,230,2,0
4,21,1154,1,0
5,21,2121,3,0
6,21,5526,4,0
7,21,5722,2,0
8,21,435,1,0
9,21,1355,4,0
10,21,6824,2,0
11,21,1228,4,0
12,21,5634,3,0
13,21,5052,1,0
14,1,1124,1,0
15,21,1982,3,0
16,1,5872,3,0
17,1,661,4,0
18,1,3672,3,0
19,1,581,1,0
20,1,8276,4,0
21,1,1397,1,0
22,1,4351,3,0
23,1,7855,2,0
24,21,392,1,0
25,1,5712,2,0
26,21,5573,4,0
27,21,957,4,0
28,21,8460,3,0
29,21,5975,3,0
30,21,3754,3,0
31,21,1849,4,0
32,21,3775,4,0
33,21,8656,2,0
34,21,2771,1,0
35,21,5981,2,0
36,21,2679,2,0
37,21,8266,4,0
38,21,3230,1,0
39,21,5281,4,0
40,21,1727,2,0
41,21,8210,4,0
42,21,7532,1,0
43,21,6942,3,0
44,21,2361,2,0
45,21,8341,3,0
46,21,5217,4,0
47,21,7140,3,0
48,21,6581,3,0
49,21,4258,4,0
50,21,2467,1,0
51,21,7591,3,0
52,21,2636,4,0
53,21,6566,2,0
54,21,3200,4,0
55,21,5934,3,0
56,21,6067,3,0
57,21,1901,4,0
58,21,8427,4,0
59,21,4174,1,0
60,21,6775,3,0
61,21,2198,1,0
62,21,2225,2,0
63,21,5305,1,0
64,21,1373,2,0
65,21,3961,2,0
66,21,447,4,0
67,21,7509,1,0
68,21,1829,3,0
69,21,4364,4,0
70,21,1059,3,0
71,21,2489,4,0
72,21,4955,1,0
73,21,4088,2,0
74,21,1742,1,0
75,21,545,4,0
76,21,4727,1,0
77,21,6834,1,0
78,21,3103,3,0
79,21,244,3,0
80,21,2180,2,0
81,262,3346,3,0
82,262,5269,2,0
83,262,1648,4,0
84,262,3720,4,0
85,262,7575,4,0
86,262,1885,4,0
87,262,6482,3,0
88,262,1410,1,0
89,262,4105,4,0
90,262,2480,3,0
91,262,658,4,0
92,262,6974,3,0
93,262,46,4,0
94,262,3864,4,0
95,262,5928,2,0
96,450,2248,4,0
97,262,785,4,0
98,450,2687,3,0
99,450,4766,4,0
100,450,8474,2,0
101,450,6316,4,0
102,450,1961,4,0
103,450,6458,1,0
104,450,4239,4,0
105,450,668,3,0
106,450,5850,4,0
107,450,8404,1,0
108,528,8422,1,0
109,528,5561,2,0
110,528,7376,3,0
111,528,3627,4,0
112,262,2118,4,0
113,528,2494,2,0
114,262,8085,2,0
115,528,3204,1,0
116,262,3607,4,0
117,528,3282,2,0
118,262,1173,3,0
119,528,7378,1,0
120,528,2496,4,0
121,528,919,2,0
122,262,5431,2,0
123,262,3543,4,0
124,262,8479,2,0
125,450,4,3,0
126,262,2642,1,0
127,450,8270,1,0
128,262,8566,4,0
129,450,2401,2,0
130,450,4549,1,0
131,450,7823,3,0
132,450,3907,4,0
133,450,7276,4,0
134,450,3945,2,0
135,450,6727,4,0
136,450,5565,2,0
137,528,2457,1,0
138,528,6242,1,0
139,528,639,4,0
140,262,279,3,0
141,528,7276,2,0
142,262,1542,2,0
143,528,4339,3,0
144,262,8730,4,0
145,528,5696,4,0
146,262,8397,2,0
147,528,760,1,0
148,262,491,2,0
149,528,1909,3,0
150,528,828,3,0
151,528,7641,4,0
152,262,3337,2,0
153,450,8533,3,0
154,262,5897,3,0
155,450,7146,3,0
156,262,3047,3,0
157,450,176,4,0
158,262,5571,3,0
159,450,6919,3,0
160,450,4142,4,0
161,450,2672,3,0
162,450,4591,1,0
163,450,2028,4,0
164,450,191,1,0
165,450,3940,1,0
166,529,8495,2,0
167,529,2118,1,0
168,529,372,3,0
169,529,8361,3,0
170,529,2377,3,0
171,529,6145,4,0
172,262,3605,2,0
173,529,1511,3,0
174,262,6668,2,0
175,529,7806,4,0
176,262,5290,4,0
177,529,6193,1,0
178,262,1841,3,0
179,529,7602,3,0
180,262,3961,3,0
181,262,1808,1,0
182,450,5100,3,0
183,450,4932,2,0
184,262,5606,2,0
185,450,5192,3,0
186,262,7721,2,0
187,450,74,1,0
188,262,4618,1,0
189,450,5672,4,0
190,450,6579,4,0
191,450,2865,4,0
192,450,4442,4,0
193,450,6238,3,0
194,450,8085,4,0
195,528,7297,2,0
196,528,5110,1,0
197,528,4298,3,0
198,528,7745,2,0
199,528,7641,1,0
200,262,7035,4,0
201,528,4124,3,0
202,262,2125,3,0
203,528,4928,4,0
204,262,8051,1,0
205,528,6492,3,0
206,262,7780,3,0
207,528,4421,2,0
208,262,2101,1,0
209,529,3136,1,0
210,262,6963,2,0
211,262,1466,1,0
212,450,6712,3,0
213,450,3379,4,0
214,450,1314,3,0
215,450,7453,3,0
216,262,5640,2,0
217,450,6121,4,0
218,262,6127,4,0
219,450,5505,1,0
220,450,5815,3,0
221,450,1233,4,0
222,450,7822,2,0
223,450,6295,3,0
224,262,682,2,0
225,262,5740,4,0
226,262,3172,4,0
227,262,2910,4,0
228,262,7313,4,0
229,262,3405,3,0
230,262,1854,4,0
231,262,1586,1,0
232,450,1022,2,0
233,450,8293,2,0
234,450,5507,1,0
235,450,8420,2,0
236,450,2664,2,0
237,450,5136,4,0
238,262,8638,2,0
239,450,6096,4,0
240,450,1828,2,0
241,450,4190,4,0
242,450,3217,2,0
243,262,2802,1,0
244,262,2259,1,0
245,262,4925,3,0
246,262,1955,1,0
247,262,6506,3,0
248,262,3741,2,0
249,262,8250,3,0
250,262,7745,1,0
251,262,769,1,0
252,451,215,4,0
253,451,5175,1,0
254,451,1545,1,0
255,451,4799,3,0
256,451,8152,4,0
257,451,6024,4,0
258,451,563,1,0
259,451,5568,1,0
260,451,8301,1,0
261,451,3952,3,0
262,262,6009,2,0
263,262,5311,1,0
264,262,7242,1,0
265,262,7357,2,0
266,262,5818,2,0
267,262,1932,3,0
268,262,3369,3,0
269,262,7547,3,0
270,262,6461,2,0
271,262,8383,3,0
272,451,4823,4,0
273,451,3863,1,0
274,451,767,4,0
275,451,3903,3,0
276,451,1271,2,0
277,451,6476,2,0
278,451,1961,2,0
279,451,492,2,0
280,451,7479,1,0
281,451,2123,3,0
282,528,4787,3,0
283,528,3935,2,0
284,528,3321,1,0
285,528,6223,3,0
286,528,7597,3,0
287,528,1328,3,0
288,528,7914,1,0
289,528,1969,3,0
290,528,1481,3,0
291,528,338,3,0
292,528,5542,2,0
293,21,3613,4,0
294,21,1910,1,0
295,21,2961,1,0
296,21,3059,4,0
297,21,2310,3,0
298,21,1861,4,0
299,528,744,4,0
300,21,3544,4,0
301,528,7376,2,0
302,21,4046,3,0
303,528,3134,3,0
304,21,2182,3,0
305,528,4649,4,0
306,21,2273,1,0
307,528,641,1,0
308,528,1931,1,0
309,528,7409,2,0
310,528,7515,2,0
311,21,4481,3,0
312,21,5666,2,0
313,21,7917,2,0
314,21,8579,1,0
315,21,2985,2,0
316,528,612,2,0
317,528,2141,1,0
318,528,1215,4,0
319,21,7146,3,0
320,528,6090,3,0
321,21,2031,2,0
322,528,4135,3,0
323,21,6171,4,0
324,528,7527,1,0
325,21,5083,3,0
326,528,5885,2,0
327,21,3217,2,0
328,528,7239,1,0
329,262,7710,3,0
330,528,7067,3,0
331,262,6901,3,0
332,528,6754,1,0
333,262,1937,4,0
